id_pedido,data,categoria,quantidade,preco_unitario,receita
78,2025-02-25,Eletrônicos,5,1554.1,7770.5
79,2025-02-25,Roupas,5,132.4,662.0
80,2025-02-25,Roupas,2,92.33,184.66
81,2025-02-25,Eletrônicos,5,1107.3,5536.5
82,2025-02-26,Esportes,4,200.94,803.76
83,2025-02-28,Eletrônicos,5,1086.5,5432.5
84,2025-02-28,Eletrônicos,5,1125.24,5626.2
85,2025-02-28,Eletrônicos,1,1453.39,1453.39
86,2025-03-02,Casa,1,379.48,379.48
87,2025-03-02,Livros,4,49.79,199.16
88,2025-03-02,Livros,4,53.33,213.32
89,2025-03-02,Livros,3,48.04,144.12
90,2025-03-02,Esportes,2,195.67,391.34
91,2025-03-04,Casa,5,317.95,1589.75
92,2025-03-05,Eletrônicos,3,1362.85,4088.55
93,2025-03-05,Livros,1,43.25,43.25
94,2025-03-06,Livros,2,48.74,97.48
95,2025-03-07,Esportes,4,304.09,1216.36
96,2025-03-07,Livros,3,70.35,211.05
97,2025-03-07,Esportes,2,184.31,368.62
98,2025-03-08,Eletrônicos,5,1264.94,6324.7
99,2025-03-08,Esportes,4,276.5,1106.0
100,2025-03-10,Eletrônicos,1,932.9,932.9
101,2025-03-11,Casa,2,317.02,634.04
102,2025-03-13,Eletrônicos,4,1417.0,5668.0
103,2025-03-13,Roupas,2,106.84,213.68
104,2025-03-14,Livros,3,49.18,147.54
105,2025-03-14,Esportes,5,287.54,1437.7
106,2025-03-15,Roupas,4,87.5,350.0
107,2025-03-15,Eletrônicos,4,1186.04,4744.16
108,2025-03-15,Eletrônicos,4,1500.13,6000.52
109,2025-03-20,Esportes,2,318.23,636.46
110,2025-03-23,Eletrônicos,2,1286.16,2572.32
111,2025-03-24,Casa,1,251.63,251.63
112,2025-03-24,Eletrônicos,1,1501.53,1501.53
113,2025-03-25,Eletrônicos,3,1309.63,3928.89
114,2025-03-26,Livros,5,45.57,227.85
115,2025-03-26,Eletrônicos,1,1072.0,1072.0
116,2025-03-27,Casa,4,246.38,985.52
117,2025-03-28,Livros,4,61.6,246.4
118,2025-03-29,Eletrônicos,5,1364.05,6820.25
119,2025-03-29,Casa,3,371.3,1113.9
120,2025-03-29,Casa,5,281.1,1405.5
121,2025-03-31,Eletrônicos,4,911.9,3647.6
122,2025-03-31,Livros,5,53.54,267.7
123,2025-04-02,Casa,2,245.19,490.38
124,2025-04-04,Eletrônicos,5,1135.19,5675.95
125,2025-04-06,Livros,4,61.32,245.28
126,2025-04-06,Livros,3,77.71,233.13
127,2025-04-07,Casa,2,298.31,596.62
128,2025-04-08,Casa,5,369.84,1849.2
129,2025-04-08,Casa,5,330.15,1650.75
130,2025-04-10,Livros,1,59.35,59.35
131,2025-04-11,Esportes,5,211.54,1057.7
132,2025-04-11,Esportes,4,259.27,1037.08
133,2025-04-12,Roupas,2,143.27,286.54
134,2025-04-12,Casa,3,353.86,1061.58
135,2025-04-12,Esportes,4,286.26,1145.04
136,2025-04-13,Livros,3,51.34,154.02
137,2025-04-13,Eletrônicos,1,1193.71,1193.71
138,2025-04-13,Roupas,5,129.03,645.15
139,2025-04-14,Roupas,3,145.97,437.91
140,2025-04-15,Roupas,1,136.9,136.9
141,2025-04-16,Casa,1,248.73,248.73
142,2025-04-16,Casa,3,274.33,822.99
143,2025-04-16,Esportes,1,308.45,308.45
144,2025-04-17,Livros,1,65.21,65.21
145,2025-04-18,Esportes,5,247.22,1236.1
146,2025-04-18,Livros,2,74.13,148.26
147,2025-04-19,Roupas,5,142.98,714.9
148,2025-04-20,Esportes,3,294.63,883.89
149,2025-04-20,Casa,3,280.73,842.19
150,2025-04-20,Esportes,3,245.92,737.76
151,2025-04-21,Casa,2,373.86,747.72
152,2025-04-21,Livros,1,55.58,55.58
153,2025-04-21,Livros,1,45.61,45.61
154,2025-04-22,Eletrônicos,5,1277.85,6389.25
155,2025-04-23,Livros,2,54.33,108.66
156,2025-04-24,Livros,2,74.15,148.3
157,2025-04-24,Casa,3,376.3,1128.9
158,2025-04-25,Eletrônicos,5,1548.06,7740.3
159,2025-04-25,Esportes,5,208.12,1040.6
160,2025-04-26,Esportes,3,293.61,880.83
161,2025-04-26,Eletrônicos,2,1389.06,2778.12
162,2025-04-26,Roupas,3,123.03,369.09
163,2025-04-27,Roupas,2,90.92,181.84
164,2025-04-28,Casa,1,222.93,222.93
165,2025-04-28,Eletrônicos,1,1470.08,1470.08
166,2025-04-29,Roupas,2,148.61,297.22
167,2025-05-01,Esportes,4,197.85,791.4
168,2025-05-01,Esportes,4,264.36,1057.44
169,2025-05-02,Esportes,1,274.44,274.44
170,2025-05-02,Livros,1,49.45,49.45
171,2025-05-03,Casa,5,329.42,1647.1
172,2025-05-03,Esportes,5,220.67,1103.35
173,2025-05-04,Eletrônicos,5,1469.69,7348.45
174,2025-05-06,Livros,4,67.57,270.28
175,2025-05-07,Casa,2,362.28,724.56
176,2025-05-07,Livros,4,47.86,191.44
177,2025-05-10,Eletrônicos,2,896.24,1792.48
178,2025-05-13,Esportes,3,308.5,925.5
179,2025-05-13,Eletrônicos,4,1320.85,5283.4
180,2025-05-13,Esportes,4,237.04,948.16
181,2025-05-14,Casa,5,305.55,1527.75
182,2025-05-14,Casa,1,388.76,388.76
183,2025-05-15,Casa,5,359.78,1798.9
184,2025-05-16,Roupas,4,149.71,598.84
185,2025-05-16,Eletrônicos,1,1249.83,1249.83
186,2025-05-16,Roupas,4,122.61,490.44
187,2025-05-17,Roupas,4,98.79,395.16
188,2025-05-17,Eletrônicos,3,966.98,2900.94
189,2025-05-19,Casa,3,327.48,982.44
190,2025-05-20,Casa,3,231.72,695.16
191,2025-05-22,Esportes,2,236.19,472.38
192,2025-05-26,Casa,5,327.64,1638.2
193,2025-05-27,Esportes,1,267.87,267.87
194,2025-05-29,Roupas,3,154.89,464.67
195,2025-05-30,Eletrônicos,5,1489.18,7445.9
196,2025-05-30,Eletrônicos,3,1439.42,4318.26
197,2025-05-30,Casa,5,227.81,1139.05
198,2025-05-30,Esportes,4,194.04,776.16
199,2025-05-31,Livros,3,51.53,154.59
200,2025-06-01,Roupas,3,84.17,252.51
201,2025-06-02,Esportes,4,274.0,1096.0
202,2025-06-02,Casa,3,386.83,1160.49
203,2025-06-02,Roupas,1,111.75,111.75
204,2025-06-02,Roupas,2,120.3,240.6
205,2025-06-05,Casa,5,377.34,1886.7
206,2025-06-07,Roupas,1,87.61,87.61
207,2025-06-07,Casa,3,371.01,1113.03
208,2025-06-08,Casa,2,219.51,439.02
209,2025-06-08,Casa,2,241.56,483.12
210,2025-06-08,Roupas,1,133.19,133.19
211,2025-06-08,Esportes,3,176.87,530.61
212,2025-06-08,Roupas,5,144.42,722.1
213,2025-06-08,Casa,2,382.68,765.36
214,2025-06-09,Esportes,5,258.03,1290.15
215,2025-06-09,Esportes,3,277.68,833.04
216,2025-06-10,Esportes,5,246.98,1234.9
217,2025-06-10,Casa,1,343.85,343.85
218,2025-06-10,Casa,4,350.07,1400.28
219,2025-06-11,Esportes,2,303.32,606.64
220,2025-06-11,Casa,2,285.47,570.94
221,2025-06-12,Casa,2,213.43,426.86
222,2025-06-12,Esportes,2,206.02,412.04
223,2025-06-13,Roupas,5,123.92,619.6
224,2025-06-13,Livros,1,66.41,66.41
225,2025-06-14,Livros,5,46.52,232.6
226,2025-06-14,Casa,3,255.77,767.31
227,2025-06-14,Casa,1,321.63,321.63
228,2025-06-16,Eletrônicos,4,1516.81,6067.24
229,2025-06-16,Esportes,3,179.51,538.53
230,2025-06-17,Roupas,2,125.04,250.08
231,2025-06-17,Esportes,3,321.73,965.19
232,2025-06-18,Roupas,4,105.22,420.88
233,2025-06-18,Livros,2,51.12,102.24
234,2025-06-18,Casa,3,248.54,745.62
235,2025-06-19,Livros,5,77.59,387.95
236,2025-06-20,Casa,2,326.33,652.66
237,2025-06-20,Casa,4,380.56,1522.24
238,2025-06-20,Roupas,5,126.76,633.8
239,2025-06-21,Esportes,2,195.7,391.4
240,2025-06-21,Casa,2,277.89,555.78
241,2025-06-21,Casa,1,259.17,259.17
242,2025-06-22,Esportes,5,231.86,1159.3
243,2025-06-22,Eletrônicos,4,930.58,3722.32
244,2025-06-23,Roupas,1,85.31,85.31
245,2025-06-26,Esportes,4,220.37,881.48
246,2025-06-27,Livros,4,67.91,271.64
247,2025-06-28,Casa,3,385.61,1156.83
248,2025-06-29,Roupas,4,95.01,380.04
249,2025-06-29,Eletrônicos,5,1493.1,7465.5
250,2025-06-30,Eletrônicos,5,1016.25,5081.25
251,2025-06-30,Eletrônicos,3,1169.95,3509.85
252,2025-06-30,Eletrônicos,3,1396.09,4188.27
253,2025-07-01,Esportes,1,193.9,193.9
254,2025-07-01,Esportes,4,235.73,942.92
255,2025-07-02,Roupas,1,101.4,101.4
256,2025-07-02,Esportes,1,285.27,285.27
257,2025-07-02,Livros,1,71.83,71.83
258,2025-07-02,Livros,1,44.43,44.43
259,2025-07-02,Casa,1,306.09,306.09
260,2025-07-04,Livros,3,45.34,136.02
261,2025-07-04,Livros,1,45.77,45.77
262,2025-07-04,Eletrônicos,2,1021.75,2043.5
263,2025-07-05,Eletrônicos,1,1468.46,1468.46
264,2025-07-07,Esportes,2,203.25,406.5
265,2025-07-07,Eletrônicos,3,1025.62,3076.86
266,2025-07-09,Livros,1,44.51,44.51
267,2025-07-10,Esportes,4,218.36,873.44
268,2025-07-10,Roupas,3,107.51,322.53
269,2025-07-12,Esportes,2,281.73,563.46
270,2025-07-13,Roupas,1,114.44,114.44
271,2025-07-14,Esportes,1,176.13,176.13
272,2025-07-17,Casa,1,289.21,289.21
273,2025-07-18,Livros,4,52.21,208.84
274,2025-07-18,Casa,5,213.56,1067.8
275,2025-07-19,Casa,1,305.74,305.74
276,2025-07-19,Esportes,3,290.94,872.82
277,2025-07-19,Livros,3,66.95,200.85
278,2025-07-19,Roupas,3,101.58,304.74
279,2025-07-22,Eletrônicos,2,985.82,1971.64
280,2025-07-22,Livros,1,43.78,43.78
281,2025-07-22,Roupas,4,127.33,509.32
282,2025-07-22,Eletrônicos,2,1080.56,2161.12
283,2025-07-22,Livros,1,70.19,70.19
284,2025-07-22,Roupas,2,127.45,254.9
285,2025-07-23,Livros,5,45.98,229.9
286,2025-07-24,Roupas,4,117.67,470.68
287,2025-07-26,Esportes,3,306.08,918.24
288,2025-07-26,Livros,3,56.73,170.19
289,2025-07-26,Roupas,5,147.91,739.55
290,2025-07-27,Eletrônicos,3,1126.92,3380.76
291,2025-07-27,Livros,3,74.54,223.62
292,2025-07-28,Livros,2,56.69,113.38
293,2025-07-29,Casa,3,319.57,958.71
294,2025-07-31,Eletrônicos,5,1128.32,5641.6
295,2025-08-01,Eletrônicos,4,1381.68,5526.72
296,2025-08-01,Livros,1,48.38,48.38
297,2025-08-02,Livros,4,69.03,276.12
298,2025-08-03,Livros,5,58.6,293.0
299,2025-08-04,Roupas,1,116.37,116.37
300,2025-08-06,Roupas,2,124.61,249.22
301,2025-08-06,Livros,3,42.96,128.88
302,2025-08-07,Esportes,4,298.18,1192.72
303,2025-08-09,Casa,2,219.95,439.9
304,2025-08-09,Roupas,4,112.38,449.52
305,2025-08-10,Livros,3,46.85,140.55
306,2025-08-10,Esportes,1,201.92,201.92
307,2025-08-12,Eletrônicos,5,868.98,4344.9
308,2025-08-13,Eletrônicos,3,1159.64,3478.92
309,2025-08-15,Esportes,1,218.4,218.4
310,2025-08-17,Esportes,1,294.17,294.17
311,2025-08-18,Livros,5,75.26,376.3
312,2025-08-18,Casa,2,340.64,681.28
313,2025-08-19,Eletrônicos,5,1272.53,6362.65
314,2025-08-19,Livros,2,72.47,144.94
315,2025-08-20,Roupas,3,101.3,303.9
316,2025-08-20,Eletrônicos,5,963.81,4819.05
317,2025-08-20,Roupas,4,125.83,503.32
318,2025-08-20,Livros,3,59.5,178.5
319,2025-08-21,Livros,1,47.38,47.38
320,2025-08-24,Roupas,1,145.44,145.44
321,2025-08-26,Roupas,3,99.26,297.78
322,2025-08-27,Eletrônicos,2,1545.04,3090.08
323,2025-08-27,Esportes,3,211.37,634.11
324,2025-08-29,Esportes,2,321.42,642.84
325,2025-08-30,Casa,4,323.81,1295.24
326,2025-08-30,Casa,3,327.45,982.35
327,2025-08-30,Roupas,2,92.05,184.1
328,2025-08-30,Eletrônicos,1,978.46,978.46
329,2025-08-31,Casa,5,368.11,1840.55
330,2025-08-31,Livros,1,54.29,54.29
331,2025-08-31,Livros,3,73.56,220.68
332,2025-08-31,Roupas,2,151.36,302.72
333,2025-09-01,Eletrônicos,3,1526.1,4578.3
334,2025-09-01,Casa,1,214.17,214.17
335,2025-09-02,Eletrônicos,2,1206.43,2412.86
336,2025-09-02,Eletrônicos,5,1022.64,5113.2
337,2025-09-03,Esportes,2,266.51,533.02
338,2025-09-05,Livros,2,75.19,150.38
339,2025-09-05,Casa,4,364.94,1459.76
340,2025-09-05,Casa,4,340.53,1362.12
341,2025-09-07,Esportes,2,323.77,647.54
342,2025-09-07,Esportes,3,214.68,644.04
343,2025-09-07,Livros,4,66.57,266.28
344,2025-09-08,Eletrônicos,3,1442.1,4326.3
345,2025-09-11,Casa,5,342.8,1714.0
346,2025-09-12,Roupas,3,150.99,452.97
347,2025-09-12,Esportes,3,289.0,867.0
348,2025-09-12,Livros,1,47.95,47.95
349,2025-09-13,Esportes,5,260.04,1300.2
350,2025-09-13,Eletrônicos,3,1068.7,3206.1
351,2025-09-13,Eletrônicos,4,956.1,3824.4
352,2025-09-14,Esportes,5,192.84,964.2
353,2025-09-15,Esportes,1,252.55,252.55
354,2025-09-19,Casa,2,238.86,477.72
355,2025-09-19,Esportes,3,312.82,938.46
356,2025-09-19,Casa,4,288.22,1152.88
357,2025-09-19,Casa,4,247.51,990.04
358,2025-09-20,Livros,2,57.0,114.0
359,2025-09-20,Livros,2,75.14,150.28
360,2025-09-21,Livros,3,53.58,160.74
361,2025-09-21,Eletrônicos,1,1230.5,1230.5
362,2025-09-22,Eletrônicos,4,1385.7,5542.8
363,2025-09-23,Eletrônicos,3,1333.51,4000.53
364,2025-09-24,Eletrônicos,4,1127.77,4511.08
365,2025-09-26,Casa,5,300.14,1500.7
366,2025-09-26,Esportes,2,182.11,364.22
367,2025-09-26,Esportes,1,317.84,317.84
368,2025-09-27,Livros,1,46.28,46.28
369,2025-09-27,Roupas,5,84.08,420.4
370,2025-09-29,Eletrônicos,4,851.94,3407.76
371,2025-09-29,Livros,3,60.26,180.78
372,2025-09-30,Livros,4,66.7,266.8
373,2025-09-30,Eletrônicos,2,1094.4,2188.8
374,2025-10-01,Esportes,2,203.89,407.78
375,2025-10-01,Esportes,1,259.18,259.18
376,2025-10-02,Eletrônicos,1,1099.75,1099.75
377,2025-10-04,Casa,5,325.02,1625.1
378,2025-10-04,Livros,4,58.88,235.52
379,2025-10-04,Eletrônicos,5,1138.1,5690.5
380,2025-10-05,Esportes,3,285.79,857.37
381,2025-10-05,Esportes,2,195.73,391.46
382,2025-10-06,Eletrônicos,3,1399.7,4199.1
383,2025-10-07,Roupas,4,106.98,427.92
384,2025-10-07,Casa,3,256.34,769.02
385,2025-10-07,Roupas,1,96.68,96.68
386,2025-10-08,Esportes,2,235.01,470.02
387,2025-10-08,Esportes,4,237.89,951.56
388,2025-10-09,Eletrônicos,4,1477.09,5908.36
389,2025-10-09,Livros,2,64.2,128.4
390,2025-10-10,Livros,4,53.61,214.44
391,2025-10-11,Eletrônicos,2,1472.93,2945.86
392,2025-10-12,Casa,2,341.6,683.2
393,2025-10-12,Casa,5,305.35,1526.75
394,2025-10-12,Livros,1,67.49,67.49
395,2025-10-12,Roupas,2,136.81,273.62
396,2025-10-13,Eletrônicos,4,1103.76,4415.04
397,2025-10-13,Roupas,5,84.34,421.7
398,2025-10-14,Roupas,2,148.1,296.2
399,2025-10-14,Roupas,2,105.22,210.44
400,2025-10-14,Eletrônicos,5,846.67,4233.35
401,2025-10-15,Casa,1,294.56,294.56
402,2025-10-15,Livros,3,46.74,140.22
403,2025-10-15,Roupas,2,155.52,311.04
404,2025-10-17,Eletrônicos,2,1315.16,2630.32
405,2025-10-18,Esportes,2,206.82,413.64
406,2025-10-18,Livros,1,66.46,66.46
407,2025-10-18,Esportes,4,182.58,730.32
408,2025-10-18,Eletrônicos,4,981.65,3926.6
409,2025-10-21,Livros,5,72.92,364.6
410,2025-10-21,Esportes,3,294.4,883.2
411,2025-10-21,Roupas,5,110.49,552.45
412,2025-10-21,Casa,4,248.21,992.84
413,2025-10-22,Eletrônicos,2,906.04,1812.08
414,2025-10-23,Livros,5,68.82,344.1
415,2025-10-23,Livros,1,58.74,58.74
416,2025-10-25,Livros,1,76.31,76.31
417,2025-10-27,Esportes,4,202.86,811.44
418,2025-10-28,Eletrônicos,2,957.18,1914.36
419,2025-10-29,Roupas,1,90.19,90.19
420,2025-10-29,Roupas,3,93.31,279.93
421,2025-10-30,Eletrônicos,1,1069.25,1069.25
422,2025-10-30,Eletrônicos,5,1447.19,7235.95
423,2025-10-30,Livros,1,63.09,63.09
424,2025-10-31,Eletrônicos,3,1327.89,3983.67
425,2025-10-31,Eletrônicos,2,1145.84,2291.68
426,2025-10-31,Esportes,1,252.19,252.19
427,2025-10-31,Livros,3,48.42,145.26
428,2025-11-03,Esportes,2,214.03,428.06
429,2025-11-03,Casa,1,229.91,229.91
430,2025-11-04,Roupas,5,121.46,607.3
431,2025-11-05,Esportes,1,198.09,198.09
432,2025-11-06,Eletrônicos,3,1178.37,3535.11
433,2025-11-07,Esportes,2,204.67,409.34
434,2025-11-08,Roupas,3,147.43,442.29
435,2025-11-09,Casa,2,294.31,588.62
436,2025-11-09,Livros,5,67.9,339.5
437,2025-11-09,Casa,4,357.3,1429.2
438,2025-11-10,Casa,5,356.37,1781.85
439,2025-11-10,Casa,5,251.09,1255.45
440,2025-11-12,Casa,4,293.64,1174.56
441,2025-11-13,Casa,3,267.67,803.01
442,2025-11-16,Livros,3,53.58,160.74
443,2025-11-20,Livros,5,57.25,286.25
444,2025-11-21,Casa,1,387.24,387.24
445,2025-11-22,Eletrônicos,5,877.02,4385.1
446,2025-11-22,Esportes,1,238.42,238.42
447,2025-11-22,Casa,4,239.79,959.16
448,2025-11-22,Eletrônicos,1,1120.85,1120.85
449,2025-11-23,Livros,2,75.58,151.16
450,2025-11-24,Roupas,2,90.77,181.54
451,2025-11-24,Esportes,5,195.8,979.0
452,2025-11-25,Casa,2,315.16,630.32
453,2025-11-26,Casa,3,247.39,742.17
454,2025-11-27,Roupas,5,147.39,736.95
455,2025-11-27,Eletrônicos,1,1261.89,1261.89
456,2025-11-28,Livros,3,50.94,152.82
457,2025-12-01,Roupas,3,87.25,261.75
458,2025-12-01,Livros,5,75.69,378.45
459,2025-12-03,Casa,4,210.72,842.88
460,2025-12-04,Esportes,5,317.51,1587.55
461,2025-12-04,Roupas,1,123.67,123.67
462,2025-12-05,Esportes,3,308.25,924.75
463,2025-12-05,Esportes,5,302.42,1512.1
464,2025-12-05,Eletrônicos,4,1553.08,6212.32
465,2025-12-05,Esportes,5,234.17,1170.85
466,2025-12-07,Eletrônicos,1,887.58,887.58
467,2025-12-07,Roupas,2,145.94,291.88
468,2025-12-08,Eletrônicos,4,1427.56,5710.24
469,2025-12-08,Esportes,2,252.47,504.94
470,2025-12-08,Roupas,1,115.41,115.41
471,2025-12-09,Casa,1,326.47,326.47
472,2025-12-09,Livros,3,42.84,128.52
473,2025-12-09,Livros,4,52.66,210.64
474,2025-12-10,Eletrônicos,5,1279.75,6398.75
475,2025-12-12,Casa,2,227.14,454.28
476,2025-12-14,Esportes,3,243.47,730.41
477,2025-12-15,Eletrônicos,5,1312.37,6561.85
478,2025-12-15,Livros,3,65.6,196.8
479,2025-12-16,Livros,4,61.13,244.52
480,2025-12-17,Eletrônicos,2,1247.82,2495.64
481,2025-12-17,Eletrônicos,3,1163.9,3491.7
482,2025-12-18,Eletrônicos,4,1084.31,4337.24
483,2025-12-18,Esportes,4,289.7,1158.8
484,2025-12-19,Casa,1,303.95,303.95
485,2025-12-20,Casa,4,358.16,1432.64
486,2025-12-20,Casa,4,303.18,1212.72
487,2025-12-20,Eletrônicos,4,1260.94,5043.76
488,2025-12-20,Roupas,2,93.96,187.92
489,2025-12-21,Esportes,2,198.03,396.06
490,2025-12-21,Eletrônicos,1,1089.46,1089.46
491,2025-12-22,Livros,5,72.74,363.7
492,2025-12-22,Livros,4,58.15,232.6
493,2025-12-23,Livros,4,47.42,189.68
494,2025-12-25,Livros,5,54.22,271.1
495,2025-12-28,Eletrônicos,5,997.58,4987.9
496,2025-12-28,Roupas,2,108.68,217.36
497,2025-12-29,Esportes,3,291.15,873.45
498,2025-12-29,Livros,2,69.13,138.26
499,2025-12-30,Eletrônicos,3,1390.66,4171.98
500,2025-12-31,Eletrônicos,5,943.61,4718.05
